COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"10004","新竹縣","10004010","竹北市",98.6600000000000000,2.55,4689.00,42.76,29.37,13.39,45.60,"113Y12M"
"10004","新竹縣","10004020","竹東鎮",101.4200000000000000,2.57,1826.33,41.59,18.40,23.20,126.10,"113Y12M"
"10004","新竹縣","10004030","新埔鎮",113.5800000000000000,2.57,463.55,42.98,11.61,31.37,270.26,"113Y12M"
"10004","新竹縣","10004040","關西鎮",116.0600000000000000,2.75,210.23,47.54,12.59,34.95,277.58,"113Y12M"
"10004","新竹縣","10004050","湖口鄉",101.5600000000000000,2.56,1433.30,39.82,19.25,20.58,106.90,"113Y12M"
"10004","新竹縣","10004060","新豐鄉",104.6600000000000000,2.70,1280.18,39.45,20.15,19.30,95.77,"113Y12M"
"10004","新竹縣","10004070","芎林鄉",112.2100000000000000,2.60,500.27,40.46,11.76,28.70,244.09,"113Y12M"
"10004","新竹縣","10004080","橫山鄉",117.0900000000000000,2.70,180.71,50.70,12.17,38.54,316.74,"113Y12M"
"10004","新竹縣","10004090","北埔鄉",121.3000000000000000,2.69,165.71,48.21,11.69,36.52,312.54,"113Y12M"
"10004","新竹縣","10004100","寶山鄉",117.6700000000000000,2.29,224.33,35.76,10.18,25.57,251.19,"113Y12M"
"10004","新竹縣","10004110","峨眉鄉",122.2700000000000000,2.41,108.57,57.50,9.92,47.58,479.69,"113Y12M"
"10004","新竹縣","10004120","尖石鄉",108.2000000000000000,3.20,18.05,41.37,25.49,15.88,62.32,"113Y12M"
"10004","新竹縣","10004130","五峰鄉",117.4900000000000000,2.51,19.49,39.33,17.42,21.91,125.77,"113Y12M"
"10005","苗栗縣","10005010","苗栗市",98.1100000000000000,2.54,2270.52,48.46,17.25,31.20,180.87,"113Y12M"
"10005","苗栗縣","10005020","苑裡鎮",108.6700000000000000,2.71,636.60,40.64,13.61,27.03,198.62,"113Y12M"
"10005","苗栗縣","10005030","通霄鎮",112.9500000000000000,2.64,286.45,47.40,11.75,35.65,303.33,"113Y12M"
"10005","苗栗縣","10005040","竹南鎮",101.0100000000000000,2.60,2414.00,42.32,21.62,20.71,95.80,"113Y12M"
"10005","苗栗縣","10005050","頭份市",101.2800000000000000,2.61,2015.70,41.55,19.91,21.65,108.74,"113Y12M"
"10005","苗栗縣","10005060","後龍鎮",111.2700000000000000,2.68,444.56,42.61,13.22,29.39,222.41,"113Y12M"
"10005","苗栗縣","10005070","卓蘭鎮",109.6600000000000000,2.58,195.11,51.64,11.81,39.83,337.16,"113Y12M"
"10005","苗栗縣","10005080","大湖鄉",115.5300000000000000,2.46,139.16,49.60,11.53,38.07,330.29,"113Y12M"
"10005","苗栗縣","10005090","公館鄉",108.1100000000000000,2.76,432.05,46.00,14.32,31.67,221.10,"113Y12M"
"10005","苗栗縣","10005100","銅鑼鄉",112.4800000000000000,2.61,207.51,48.58,13.82,34.76,251.49,"113Y12M"
"10005","苗栗縣","10005110","南庄鄉",121.5800000000000000,2.29,52.49,48.02,10.43,37.59,360.46,"113Y12M"
"10005","苗栗縣","10005120","頭屋鄉",112.8900000000000000,2.62,183.36,45.69,9.40,36.29,386.15,"113Y12M"
"10005","苗栗縣","10005130","三義鄉",112.7700000000000000,2.58,212.18,46.31,14.19,32.12,226.35,"113Y12M"
"10005","苗栗縣","10005140","西湖鄉",129.1200000000000000,2.36,146.92,49.20,7.29,41.90,574.58,"113Y12M"
"10005","苗栗縣","10005150","造橋鄉",113.7300000000000000,2.68,241.30,45.16,10.88,34.28,315.09,"113Y12M"
"10005","苗栗縣","10005160","三灣鄉",122.8400000000000000,2.56,111.17,53.36,12.71,40.65,319.71,"113Y12M"
"10005","苗栗縣","10005170","獅潭鄉",119.9800000000000000,2.30,50.46,57.98,7.84,50.14,639.20,"113Y12M"
"10005","苗栗縣","10005180","泰安鄉",118.0000000000000000,2.78,8.97,37.95,13.32,24.63,184.96,"113Y12M"
"10007","彰化縣","10007010","彰化市",96.1400000000000000,2.74,3404.98,48.59,19.48,29.11,149.45,"113Y12M"
"10007","彰化縣","10007020","鹿港鎮",102.5400000000000000,3.11,2118.16,45.47,19.54,25.93,132.69,"113Y12M"
"10007","彰化縣","10007030","和美鎮",103.0800000000000000,2.95,2187.83,40.91,16.39,24.51,149.55,"113Y12M"
"10007","彰化縣","10007040","線西鄉",106.3500000000000000,3.27,894.74,42.20,16.04,26.16,163.12,"113Y12M"
"10007","彰化縣","10007050","伸港鄉",100.3000000000000000,3.23,1720.89,42.02,19.32,22.70,117.51,"113Y12M"
"10007","彰化縣","10007060","福興鄉",108.7700000000000000,3.14,897.37,41.78,15.25,26.53,173.94,"113Y12M"
